RUC,RazonSocial,Estado,Condicion,Tipo,Actividad_CIIU3_Principal,Actividad_CIIU3_Secundaria,Actividad_CIIU4_Principal,NroTrab,TipoFacturacion,TipoContabilidad,ComercioExterior,UBIGEO,Departamento,Provincia,Distrito,PERIODO_PUBLICACION,NroTrab_num,Tamano,trabajadores_acum,porcentaje_trab_acum,empresa_num,porcentaje_empresas
20165465009,DIRECCIÓN DE ECONOMÍA Y FINANZAS PNP-DIRECFIN PNP,ACTIVO,HABIDO,GOBIERNO CENTRAL,MANTENIMIENTO DEL ORDEN PUBLICO,NO DISPONIBLE,ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD,137725,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150128,LIMA,LIMA,RIMAC,202601,137725.0,Gran empresa (>=1000),137725.0,2.241664904748163,1,0.00031660397907880907
20131257750,SEGURO SOCIAL DE SALUD,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,SERVICIOS PUBLICOS SEGURIDAD SOCIAL,ALMACENAMIENTO Y DEPOSITO,ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,64512,MANUAL,COMPUTARIZADO,SIN ACTIVIDAD,150113,LIMA,LIMA,JESUS MARIA,202601,64512.0,Gran empresa (>=1000),202237.0,3.2916869511094875,2,0.0006332079581576181
20340584237,CAMPOSOL S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE OTROS FRUTOS Y NUECES DE ARBOLES Y ARBUSTOS,28942,MANUAL/COMPUTARIZADO,COMPUTARIZADO,EXPORTADOR,150140,LIMA,LIMA,SANTIAGO DE SURCO,202601,28942.0,Gran empresa (>=1000),231179.0,3.762758039678893,3,0.0009498119372364273
20554556192,AGROVISION PERU S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE OTROS FRUTOS Y NUECES DE ARBOLES Y ARBUSTOS,26727,COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150131,LIMA,LIMA,SAN ISIDRO,202601,26727.0,Gran empresa (>=1000),257906.0,4.197776939001486,4,0.0012664159163152363
20131369124,EJERCITO PERUANO,ACTIVO,HABIDO,GOBIERNO CENTRAL,ACTIVIDADES DE DEFENSA,ORGANIZACION DEL TRANSPORTE,ACTIVIDADES DE DEFENSA,26570,MANUAL/MECANIZADO/COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150130,LIMA,LIMA,SAN BORJA,202601,26570.0,Gran empresa (>=1000),284476.0,4.630240446129159,5,0.0015830198953940453
20153408191,MARINA DE GUERRA DEL PERU,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE DEFENSA,OTROS TIPOS DE VENTA POR MENOR,ACTIVIDADES DE DEFENSA,25819,MANUAL,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,070104,CALLAO,PROVINCIA CONSTITUCIONAL DEL CALLAO,LA PERLA,202601,25819.0,Gran empresa (>=1000),310295.0,5.05048038931807,6,0.0018996238744728546
20610799869,VIRU S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,ELABORACION FRUTAS LEGUMBRES Y HORTALIZAS,NO DISPONIBLE,ELABORACION Y CONSERVACION DE FRUTAS LEGUMBRES Y HORTALIZAS,24757,COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,131201,LA LIBERTAD,VIRU,VIRU,202601,24757.0,Gran empresa (>=1000),335052.0,5.453434813328601,7,0.0022162278535516632
20336183791,EL PEDREGAL S.A,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE UVA,24503,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,200104,PIURA,PIURA,CASTILLA,202601,24503.0,Gran empresa (>=1000),359555.0,5.852255035953717,8,0.0025328318326304725
20602822533,HORTIFRUT - PERÚ S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CULTIVO DE FRUTAS,SERVICIOS AGRICOLAS GANADERAS,CULTIVO DE OTROS FRUTOS Y NUECES DE ARBOLES Y ARBUSTOS,23840,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,130109,LA LIBERTAD,TRUJILLO,SALAVERRY,202601,23840.0,Gran empresa (>=1000),383395.0,6.240284016379901,9,0.002849435811709282
20530184596,ECOSAC AGRICOLA S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CULTIVO DE FRUTAS,ELABORACION FRUTAS LEGUMBRES Y HORTALIZAS,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES,23104,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,200104,PIURA,PIURA,CASTILLA,202601,23104.0,Gran empresa (>=1000),406499.0,6.616333578618431,10,0.0031660397907880907
20170040938,DANPER TRUJILLO S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ELABORACION FRUTAS LEGUMBRES Y HORTALIZAS,CULTIVO DE HORTALIZAS Y LEGUMBRES,ELABORACION Y CONSERVACION DE FRUTAS LEGUMBRES Y HORTALIZAS,21851,MANUAL,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,130107,LA LIBERTAD,TRUJILLO,MOCHE,202601,21851.0,Gran empresa (>=1000),428350.0,6.971988832447816,11,0.0034826437698669
20100047218,BANCO DE CREDITO DEL PERU,ACTIVO,HABIDO,SOCIEDAD ANONIMA,OTROS TIPOS INTERMEDIACION MONETARIA,ARRENDAMIENTO CON OPCION DE COMPRA,OTROS TIPOS DE INTERMEDIACION MONETARIA,21045,MANUAL,COMPUTARIZADO,SIN ACTIVIDAD,150114,LIMA,LIMA,LA MOLINA,202601,21045.0,Gran empresa (>=1000),449395.0,7.314525321251049,12,0.0037992477489457092
20131370301,MINISTERIO PUBLICO-GERENCIA GENERAL,ACTIVO,HABIDO,GOBIERNO CENTRAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,20081,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150101,LIMA,LIMA,LIMA,202601,20081.0,Gran empresa (>=1000),469476.0,7.641371376449799,13,0.004115851728024518
20297939131,COMPLEJO AGROINDUSTRIAL BETA S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CULTIVO DE HORTALIZAS Y LEGUMBRES,CULTIVO DE FRUTAS,CULTIVO DE HORTALIZAS Y MELONES RAICES Y TUBERCULOS,20080,MANUAL/COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,110201,ICA,CHINCHA,CHINCHA ALTA,202601,20080.0,Gran empresa (>=1000),489556.0,7.968201155265141,14,0.0044324557071033265
20131373237,MINISTERIO DE SALUD,ACTIVO,HABIDO,GOBIERNO CENTRAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,VENTA MINORISTA PRODUCTOS FARMACEUTICOS Y ARTICULOS DE TOCADOR,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,15957,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,150113,LIMA,LIMA,JESUS MARIA,202601,15957.0,Gran empresa (>=1000),505513.0,8.227923405292852,15,0.004749059686182136
20461642706,AGRICOLA CERRO PRIETO S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE OTROS FRUTOS Y NUECES DE ARBOLES Y ARBUSTOS,15121,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150131,LIMA,LIMA,SAN ISIDRO,202601,15121.0,Gran empresa (>=1000),520634.0,8.474038598792195,16,0.005065663665260945
20164113532,UNIVERSIDAD CESAR VALLEJO S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ENSEÑANZA SUPERIOR,OTRAS ACTIVIDADES RELACIONADAS CON SALUD HUMANA,ENSEÑANZA SUPERIOR,14950,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,202601,14950.0,Gran empresa (>=1000),535584.0,8.717370530728918,17,0.005382267644339754
20100901481,J & V RESGUARDO S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ACTIVIDADES DE INVESTIGACION Y SEGURIDAD,OTRAS ACTIVIDADES DE TIPO SERVICIO NO CLASIFICADO PREVIAMENTE,ACTIVIDADES DE SEGURIDAD PRIVADA,14908,MANUAL,MANUAL/COMPUTARIZADO,IMPORTADOR,150108,LIMA,LIMA,CHORRILLOS,202601,14908.0,Gran empresa (>=1000),550492.0,8.96001885456254,18,0.005698871623418564
20144364059,FUERZA AEREA DEL PERU,ACTIVO,HABIDO,GOBIERNO CENTRAL,TRANSPORTE REGULAR VIA AEREA,NO DISPONIBLE,TRANSPORTE DE PASAJEROS POR VIA AEREA,14727,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,150113,LIMA,LIMA,JESUS MARIA,202601,14727.0,Gran empresa (>=1000),565219.0,9.199721152999468,19,0.0060154756024973725
20344832138,UNIDAD DE GESTION EDUCATIVA LOCAL # 01,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ENSEÑANZA SUPERIOR,NO DISPONIBLE,ENSEÑANZA SUPERIOR,14576,MANUAL,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,202601,14576.0,Gran empresa (>=1000),579795.0,9.436965717541922,20,0.006332079581576181
20462509236,UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C. O UTP S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ENSEÑANZA SUPERIOR,EDICION DE LIBROS FOLLETOS Y OTROS,ENSEÑANZA SUPERIOR,13263,MANUAL/COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150101,LIMA,LIMA,LIMA,202601,13263.0,Gran empresa (>=1000),593058.0,9.6528393906708,21,0.006648683560654991
20293718220,AGRICOLA DON RICARDO S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE UVA,13238,MANUAL,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,110109,ICA,ICA,SAN JOSE DE LOS MOLINOS,202601,13238.0,Gran empresa (>=1000),606296.0,9.868306154214501,22,0.0069652875397338
20167183515,DIRECCION REGIONAL DE EDUCACION DE PIURA,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,13161,MANUAL,MANUAL,SIN ACTIVIDAD,200101,PIURA,PIURA,PIURA,202601,13161.0,Gran empresa (>=1000),619457.0,10.082519636235853,23,0.007281891518812608
20131312955,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,12458,MANUAL/COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150101,LIMA,LIMA,LIMA,202601,12458.0,Gran empresa (>=1000),631915.0,10.285290820721984,24,0.0075984954978914184
20332784111,UNIDAD DE GESTION EDUCATIVA LOCAL N°2,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,REGULACION DE ACTIVIDADES DE ORGANISMOS,NO DISPONIBLE,NO DISPONIBLE,12349,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150135,LIMA,LIMA,SAN MARTIN DE PORRES,202601,12349.0,Gran empresa (>=1000),644264.0,10.48628787941674,25,0.007915099476970227
20601226015,AGROCASAGRANDE S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE UVA,12128,COMPUTARIZADO,COMPUTARIZADO,EXPORTADOR,130208,LA LIBERTAD,ASCOPE,CASA GRANDE,202601,12128.0,Gran empresa (>=1000),656392.0,10.683687857378516,26,0.008231703456049035
20260014987,UNIDAD DE GESTION EDUCATIVA LOCAL 04,ACTIVO,HABIDO,GOBIERNO CENTRAL,REGULACION DE ACTIVIDADES DE ORGANISMOS,NO DISPONIBLE,NO DISPONIBLE,11793,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150110,LIMA,LIMA,COMAS,202601,11793.0,Gran empresa (>=1000),668185.0,10.875635246898902,27,0.008548307435127845
20505688903,AGRICOLA ANDREA S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CULTIVO DE FRUTAS,NO DISPONIBLE,CULTIVO DE UVA,10991,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150131,LIMA,LIMA,SAN ISIDRO,202601,10991.0,Gran empresa (>=1000),679176.0,11.054528976926761,28,0.008864911414206653
20109072177,CENCOSUD RETAIL PERU S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,VENTA MINORISTA EN ALMACENES NO ESPECIALIZADA,ACTIVIDADES INMOBILIARIAS,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS CON PREDOMINIO DE LA VENTA DE ALIMENTOS BEBIDAS O TABACO,10947,MANUAL/MECANIZADO/COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150122,LIMA,LIMA,MIRAFLORES,202601,10947.0,Gran empresa (>=1000),690123.0,11.232706546084707,29,0.009181515393285463
20331304736,UNIDAD DE GESTION EDUCATIVA LOCAL 03,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,EDUCACION DE ADULTOS Y OTROS,NO DISPONIBLE,OTROS TIPOS DE ENSEÑANZA NO CLASIFICADOS PREVIAMENTE,10907,MANUAL,MANUAL,SIN ACTIVIDAD,150101,LIMA,LIMA,LIMA,202601,10907.0,Gran empresa (>=1000),701030.0,11.41023305990637,30,0.009498119372364272
20608300393,COMPAÑIA FOOD RETAIL S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA MINORISTA EN ALMACENES NO ESPECIALIZADA,VENTA AL POR MAYOR DE OTROS PRODUCTOS,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS CON PREDOMINIO DE LA VENTA DE ALIMENTOS BEBIDAS O TABACO,10874,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150130,LIMA,LIMA,SAN BORJA,202601,10874.0,Gran empresa (>=1000),711904.0,11.587222453075594,31,0.00981472335144308
20608280333,COMPAÑIA HARD DISCOUNT S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA MINORISTA EN ALMACENES NO ESPECIALIZADA,NO DISPONIBLE,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS CON PREDOMINIO DE LA VENTA DE ALIMENTOS BEBIDAS O TABACO,10767,COMPUTARIZADO,COMPUTARIZADO,SIN ACTIVIDAD,150130,LIMA,LIMA,SAN BORJA,202601,10767.0,Gran empresa (>=1000),722671.0,11.762470273220254,32,0.01013132733052189
