RUC,RazonSocial,Estado,Condicion,Tipo,Actividad_CIIU3_Principal,Actividad_CIIU3_Secundaria,Actividad_CIIU4_Principal,NroTrab,TipoFacturacion,TipoContabilidad,ComercioExterior,UBIGEO,Departamento,Provincia,Distrito,PERIODO_PUBLICACION,NroTrab_num,Tamano,trabajadores_acum,porcentaje_trab_acum,empresa_num,porcentaje_empresas
20100257298,ARIS INDUSTRIAL S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,FABRICACION DE SUSTANCIAS QUIMICAS BASICAS,PREPARACION Y TEJIDO DE FIBRAS TEXTILES,FABRICACION DE SUSTANCIAS QUIMICAS BASICAS,999,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150101,LIMA,LIMA,LIMA,202601,999.0,Grande (500-999),2867386.0,46.670673912261506,916,0.2900092448361891
20101904874,MAMBRINO S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,RESTAURANTES BARES Y CANTINAS,NO DISPONIBLE,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS,998,MANUAL/MECANIZADO/COMPUTARIZADO,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150131,LIMA,LIMA,SAN ISIDRO,202601,998.0,Grande (500-999),2868384.0,46.68691774290183,917,0.2903258488152679
20406267190,UNIDAD DE GESTION EDUCATIVA LOCAL DE YUNGUYO,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,997,MANUAL,COMPUTARIZADO,SIN ACTIVIDAD,211301,PUNO,YUNGUYO,YUNGUYO,202601,997.0,Grande (500-999),2869381.0,46.70314529715874,918,0.2906424527943467
20449282648,UNIDAD DE GESTION EDUCATIVA LOCAL DE POMABAMBA,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,997,MANUAL,MANUAL,SIN ACTIVIDAD,021601,ANCASH,POMABAMBA,POMABAMBA,202601,997.0,Grande (500-999),2870378.0,46.71937285141566,919,0.2909590567734255
20529648147,MANTENIMIENTO E INGENIERIA INDUSTRIAL S.R.L. - MAININ S.R.L.,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,NO DISPONIBLE,ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA,996,MANUAL,COMPUTARIZADO,SIN ACTIVIDAD,150140,LIMA,LIMA,SANTIAGO DE SURCO,202601,996.0,Grande (500-999),2871374.0,46.73558412928917,920,0.2912756607525044
20501577252,LIMA AIRPORT PARTNERS S.R.L.,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,OTRAS ACTIVIDADES DE TRANSPORTES,NO DISPONIBLE,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE AEREO,996,MANUAL/MECANIZADO/COMPUTARIZADO,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,070101,CALLAO,PROVINCIA CONSTITUCIONAL DEL CALLAO,CALLAO,202601,996.0,Grande (500-999),2872370.0,46.75179540716268,921,0.2915922647315832
20203531550,HOSPITAL CARLOS LANFRANCO LA HOZ,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,ACTIVIDADES DE HOSPITALES,NO DISPONIBLE,ACTIVIDADES DE HOSPITALES,994,MANUAL,MANUAL,SIN ACTIVIDAD,150125,LIMA,LIMA,PUENTE PIEDRA,202601,994.0,Grande (500-999),2873364.0,46.76797413226938,922,0.29190886871066196
20146536787,HOSPITAL EL CARMEN,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,VENTA MINORISTA PRODUCTOS FARMACEUTICOS Y ARTICULOS DE TOCADOR,ACTIVIDADES DE HOSPITALES,VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS,993,MANUAL/MECANIZADO,MANUAL,SIN ACTIVIDAD,120101,JUNIN,HUANCAYO,HUANCAYO,202601,993.0,Grande (500-999),2874357.0,46.784136580992666,923,0.29222547268974075
20257926371,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,ACTIVO,HABIDO,SOCIEDAD ANONIMA,ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL,ACTIVIDADES DE IMPRESION,ACTIVIDADES DE CONSULTORIA DE GESTION,992,COMPUTARIZADO,MANUAL/COMPUTARIZADO,EXPORTADOR,150140,LIMA,LIMA,SANTIAGO DE SURCO,202601,992.0,Grande (500-999),2875349.0,46.80028275333255,924,0.2925420766688196
20491240742,UNIDAD EJECUTORA RED DE SALUD ABANCAY,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,OTRAS ACTIVIDADES RELACIONADAS CON SALUD HUMANA,NO DISPONIBLE,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,990,MANUAL,MANUAL,SIN ACTIVIDAD,030101,APURIMAC,ABANCAY,ABANCAY,202601,990.0,Grande (500-999),2876339.0,46.816396372905615,925,0.2928586806478984
