RUC,RazonSocial,Estado,Condicion,Tipo,Actividad_CIIU3_Principal,Actividad_CIIU3_Secundaria,Actividad_CIIU4_Principal,NroTrab,TipoFacturacion,TipoContabilidad,ComercioExterior,UBIGEO,Departamento,Provincia,Distrito,PERIODO_PUBLICACION,NroTrab_num,Tamano,trabajadores_acum,porcentaje_trab_acum,empresa_num,porcentaje_empresas
20600553268,OPTIMUS EQUIPMENT S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,TRANSPORTE DE CARGA POR CARRETERA,ACTIVIDADES DE APOYO PARA OTRAS ACTIVIDADES DE EXPLOTACION DE MINAS Y CANTERAS,499,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150118,LIMA,LIMA,LURIGANCHO,202601,499.0,Mediana (100-499),3429155.0,55.81424154250635,1714,0.5426592201410787
20306363761,REMICSA DRILLING S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,FABRICACION DE OTROS PRODUCTOS DE METAL NO CLASIFICADO PREVIAMENTE,ACTIVIDADES DE APOYO PARA OTRAS ACTIVIDADES DE EXPLOTACION DE MINAS Y CANTERAS,498,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,150108,LIMA,LIMA,CHORRILLOS,202601,498.0,Mediana (100-499),3429653.0,55.8223471814431,1715,0.5429758241201575
20392776975,MINERA SHOUXIN PERU S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,EXTRACCION DE MINERAL METALIFEROS NO FERROSOS,NO DISPONIBLE,EXTRACCION DE OTROS MINERALES METALIFEROS NO FERROSOS,498,COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150113,LIMA,LIMA,JESUS MARIA,202601,498.0,Mediana (100-499),3430151.0,55.83045282037985,1716,0.5432924280992364
20100051240,FCA PERUANA ETERNIT S A,ACTIVO,HABIDO,SOCIEDAD ANONIMA,FABRICACION DE ARTICULOS DE HORMIGON CEMENTO Y YESO,NO DISPONIBLE,FABRICACION DE ARTICULOS DE HORMIGON CEMENTO Y YESO,495,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150101,LIMA,LIMA,LIMA,202601,495.0,Mediana (100-499),3430646.0,55.838509630166385,1717,0.5436090320783152
20161636780,CORPORACION CERAMICA S A,ACTIVO,HABIDO,SOCIEDAD ANONIMA,FABRICACION DE PRODUCTOS DE CERAMICA NO REFRACTARIOS PARA USO NO ESTRUCTURAL,NO DISPONIBLE,FABRICACION DE OTROS PRODUCTOS DE PORCELANA Y DE CERAMICA,495,MANUAL/COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150131,LIMA,LIMA,SAN ISIDRO,202601,495.0,Mediana (100-499),3431141.0,55.84656643995293,1718,0.543925636057394
20608908049,EDGE SERVICES & SOLUTIONS PERU S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,OTRAS ACTIVIDADES EMPRESARIALES NO CLASIFICADO PREVIAMENTE,NO DISPONIBLE,ACTIVIDADES DE CENTROS DE LLAMADAS,494,COMPUTARIZADO,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150122,LIMA,LIMA,MIRAFLORES,202601,494.0,Mediana (100-499),3431635.0,55.85460697335605,1719,0.5442422400364728
20604989931,ENCOSSA SOCIEDAD ANONIMA CERRADA - ENCOSSA S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,NO DISPONIBLE,ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA,493,SIN SISTEMA,MANUAL/COMPUTARIZADO,IMPORTADOR/EXPORTADOR,150142,LIMA,LIMA,VILLA EL SALVADOR,202601,493.0,Mediana (100-499),3432128.0,55.86263123037577,1720,0.5445588440155515
20393066386,GOBIERNO REGIONAL DE UCAYALI,ACTIVO,HABIDO,GOBIERNO REGIONAL LOCAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,NO DISPONIBLE,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,493,MANUAL,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,202601,493.0,Mediana (100-499),3432621.0,55.87065548739548,1721,0.5448754479946304
20392965191,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SUPERMIX S.A.,ACTIVO,HABIDO,SOCIEDAD ANONIMA,FABRICACION DE ARTICULOS DE HORMIGON CEMENTO Y YESO,ALQUILER OTROS TIPOS MAQUINARIA Y EQUIPO NO CLASIFICADO PREVIAMENTE,FABRICACION DE ARTICULOS DE HORMIGON CEMENTO Y YESO,493,MANUAL,COMPUTARIZADO,IMPORTADOR/EXPORTADOR,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,202601,493.0,Mediana (100-499),3433114.0,55.87867974441521,1722,0.5451920519737091
20511108200,COMPAñIA E INVERSIONES FORLI S.A.C.,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,FABRICACION DE MUEBLES,TRANSPORTE DE CARGA POR CARRETERA,FABRICACION DE MUEBLES,492,MANUAL/COMPUTARIZADO,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,150125,LIMA,LIMA,PUENTE PIEDRA,202601,492.0,Mediana (100-499),3433606.0,55.88668772505152,1723,0.545508655952788
