RUC,RazonSocial,Estado,Condicion,Tipo,Actividad_CIIU3_Principal,NroTrab,NroTrab_num,Departamento,Provincia,Distrito
20100128137,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,OTROS TIPOS DE VENTA AL POR MENOR,99,99,LIMA,LIMA,SAN ISIDRO
20100170842,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,99,99,LIMA,LIMA,SAN LUIS
20101082840,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA AL POR MAYOR DE MAQUINARIA EQUIPO Y MATERIALES,99,99,LIMA,LIMA,LIMA
20101313833,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA AL POR MENOR COMBUSTIBLES,99,99,LIMA,LIMA,SAN LUIS
20103134065,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION,99,99,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ
20121662737,,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,OTROS TIPOS TRANSPORTE REGULADOS VIA TERRESTRE,99,99,PUNO,SAN ROMAN,JULIACA
20132067831,,ACTIVO,HABIDO,SOCIEDAD DE BENEFICIENCIA,POMPAS FUNEBRES Y ACTIVIDADES CONEXAS,99,99,LA LIBERTAD,TRUJILLO,TRUJILLO
20144011725,,ACTIVO,HABIDO,INSTITUCIONES RELIGIOSAS,ENSEÑANZA PRIMARIA,99,99,LIMA,LIMA,SANTIAGO DE SURCO
20144961146,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA MINORISTA OTROS PRODUCTOS EN ALMACEN,99,99,LIMA,LIMA,SAN LUIS
20153395943,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA MINORISTA EN ALMACENES NO ESPECIALIZADA,99,99,LIMA,LIMA,SANTIAGO DE SURCO
20155611147,,ACTIVO,HABIDO,INSTITUCIONES PUBLICAS,REGULACION DE ACTIVIDADES DE ORGANISMOS,99,99,LIMA,LIMA,SAN ISIDRO
20163449669,,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CAPTACION DEPURACION Y DISTRIBUCION DE AGUA,99,99,ICA,CHINCHA,CHINCHA ALTA
20172045210,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CONSTRUCCION EDIFICIOS COMPLETOS,99,99,LIMA,LIMA,SANTIAGO DE SURCO
20176170876,,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CAPTACION DEPURACION Y DISTRIBUCION DE AGUA,99,99,LIMA,CAÑETE,SAN VICENTE DE CAÑETE
20176705061,,ACTIVO,HABIDO,GOBIERNO REGIONAL LOCAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,99,99,HUANCAVELICA,HUANCAVELICA,ACORIA
20202951393,,ACTIVO,HABIDO,GOBIERNO REGIONAL LOCAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,99,99,LA LIBERTAD,JULCAN,JULCAN
20304970660,,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,FABRICACION DE PRODUCTOS FARMACEUTICOS,99,99,LIMA,LIMA,LURIN
20312239117,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ALMACENAMIENTO Y DEPOSITO,99,99,CALLAO,PROVINCIA CONSTITUCIONAL DEL CALLAO,CALLAO
20338244917,,ACTIVO,HABIDO,SOCIEDAD ANONIMA,CRIA DE ANIMALES DOMESTICOS,99,99,LIMA,LIMA,SANTIAGO DE SURCO
20338299819,,ACTIVO,HABIDO,SOCIEDAD ANONIMA,RESTAURANTES BARES Y CANTINAS,99,99,LIMA,LIMA,PUEBLO LIBRE
20356571003,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,EDUCACION DE ADULTOS Y OTROS,99,99,PIURA,PIURA,PIURA
20358395776,,ACTIVO,HABIDO,SOCIEDAD IRREGULAR,VENTA MINORISTA OTROS PRODUCTOS EN ALMACEN,99,99,CUSCO,URUBAMBA,MARAS
20396019826,,ACTIVO,HABIDO,GOBIERNO REGIONAL LOCAL,ACTIVIDADES DE ADMINISTRACION PUBLICA EN GENERAL,99,99,LAMBAYEQUE,CHICLAYO,CAYALTI
20448847471,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO,99,99,PUNO,SAN ROMAN,JULIACA
20452467284,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ACTIVIDADES DE INVESTIGACION Y SEGURIDAD,99,99,ICA,CHINCHA,CHINCHA ALTA
20455708193,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,CRIA DE ANIMALES DOMESTICOS,99,99,AREQUIPA,AREQUIPA,CERRO COLORADO
20479378763,,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,VENTA PARTES PIEZAS ACCESORIOS,99,99,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ
20489367255,,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,ENSEÑANZA PRIMARIA,99,99,HUANUCO,HUANUCO,HUANUCO
20504794394,,ACTIVO,HABIDO,ASOCIACION,ACTIVIDADES OTRAS ASOCIACIONES NO CLASIFICADO PREVIAMENTE,99,99,LIMA,LIMA,MIRAFLORES
20507444181,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,EXTRACCION DE MINERAL METALIFEROS NO FERROSOS,99,99,LIMA,LIMA,MIRAFLORES
20509597163,,ACTIVO,HABIDO,SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,ELABORACION FRUTAS LEGUMBRES Y HORTALIZAS,99,99,LIMA,LIMA,BARRANCO
20512508775,,ACTIVO,HABIDO,SOCIEDAD ANONIMA CERRADA,ELABORACION FRUTAS LEGUMBRES Y HORTALIZAS,99,99,LIMA,LIMA,SAN ISIDRO
